id,sex,dr,use,ht,race,edu,age,age_bin
MABC0,M,6,TRN,"5'11""",WHT,BS,25,twenties
MABW0,M,2,TST,"5'9""",WHT,BS,26,twenties
MADC0,M,3,TRN,"5'9""",WHT,HS,31,thirties
MADD0,M,7,TRN,"6'2""",WHT,BS,27,twenties
FADG0,F,4,TST,"5'4""",WHT,MS,26,twenties
MAEB0,M,4,TRN,"5'11""",WHT,HS,48,fourties
FAEM0,F,2,TRN,"5'3""",WHT,BS,25,twenties
MAEO0,M,7,TRN,"5'11""",WHT,BS,30,thirties
MAFM0,M,7,TRN,"5'08""",WHT,BS,33,thirties
MAHH0,M,5,TST,"5'10""",BLK,BS,32,thirties
MAJC0,M,8,TST,"6'00""",WHT,BS,27,twenties
MAJP0,M,6,TRN,"5'11""",WHT,BS,22,twenties
FAJW0,F,2,TRN,"5'8""",WHT,HS,27,twenties
MAKB0,M,3,TRN,"6'0""",WHT,MS,34,thirties
MAKR0,M,3,TRN,"6'0""",WHT,MS,22,twenties
FAKS0,F,1,TST,"5'04""",WHT,PHD,28,twenties
FALK0,F,3,TRN,"5'6""",WHT,HS,47,fourties
FALR0,F,4,TRN,"5'4""",WHT,BS,23,twenties
FAPB0,F,6,TRN,"5'5""",WHT,HS,40,fourties
MAPV0,M,3,TRN,"5'10""",WHT,MS,37,thirties
MARC0,M,2,TRN,"5'9""",WHT,MS,28,twenties
MARW0,M,4,TRN,"5'10""",WHT,BS,25,twenties
FAWF0,F,5,TST,"5'7""",WHT,BS,27,twenties
MBAR0,M,7,TRN,"6'1""",WHT,BS,23,twenties
FBAS0,F,4,TRN,"5'5""",WHT,BS,52,fifties
MBBR0,M,7,TRN,"5'8""",WHT,BS,28,twenties
MBCG0,M,8,TRN,"5'8""",WHT,BS,26,twenties
FBCG1,F,8,TRN,"4'9""",???,BS,27,twenties
FBCH0,F,6,TRN,"5'06""",WHT,BS,26,twenties
MBDG0,M,3,TST,"5'11""",WHT,MS,27,twenties
MBEF0,M,3,TRN,"5'11""",WHT,PHD,33,thirties
MBGT0,M,5,TRN,"5'10""",WHT,BS,27,twenties
MBJK0,M,2,TST,"6'3""",WHT,BS,24,twenties
FBJL0,F,5,TRN,"5'07""",WHT,BS,23,twenties
MBJV0,M,2,TRN,"6'0""",WHT,BS,24,twenties
FBLV0,F,7,TRN,"5'8""",WHT,MS,27,twenties
MBMA0,M,4,TRN,"6'3""",WHT,PHD,44,fourties
MBMA1,M,6,TRN,"6'02""",WHT,BS,31,thirties
FBMH0,F,5,TRN,"5'6""",WHT,HS,39,thirties
FBMJ0,F,4,TRN,"5'3""",WHT,HS,45,fourties
MBML0,M,7,TRN,"6'2""",WHT,BS,26,twenties
MBNS0,M,4,TST,"5'11""",WHT,MS,29,twenties
MBOM0,M,7,TRN,"5'10""",WHT,BS,26,twenties
MBPM0,M,5,TST,"5'09""",WHT,MS,25,twenties
MBTH0,M,7,TRN,"6'02""",WHT,BS,23,twenties
MBWM0,M,3,TST,"6'2""",WHT,HS,31,thirties
MBWP0,M,4,TRN,"6'0""",WHT,BS,38,thirties
MCAE0,M,6,TRN,"6'00""",BLK,HS,28,twenties
FCAG0,F,4,TRN,"5'11""",WHT,MS,24,twenties
FCAJ0,F,2,TRN,"5'08""",WHT,HS,35,thirties
MCAL0,M,3,TRN,"6'3""",WHT,BS,26,twenties
FCAL1,F,5,TST,"5'4""",WHT,HS,30,thirties
FCAU0,F,7,TST,"5'10""",WHT,MS,23,twenties
MCCS0,M,2,TST,"5'08""",WHT,HS,43,fourties
MCDC0,M,3,TRN,"5'9""",WHT,BS,26,twenties
